,Tahmin,Üst,Alt
2024-12-09,1.4669829090207642,1.6397628077469584,1.3290520790627536
2024-12-10,1.487132838107463,1.664766104775417,1.34532754663379
2024-12-11,1.4367580153907156,1.6022578622042705,1.3046388777062212
2024-12-12,1.4468329799340651,1.6147595107184998,1.3127766114917394
2024-12-13,1.477057873564136,1.6522644562611877,1.3371898128482718
2024-12-16,1.456907944477415,1.627261159232729,1.3209143452772354
2024-12-17,1.487132838107463,1.664766104775417,1.34532754663379
2024-12-18,1.4861253416531328,1.6635159399239765,1.3445137732552626
2024-12-19,1.426683050847366,1.5897562136900412,1.296501143920703
2024-12-20,1.5072827671941846,1.6897694018038534,1.3616030142048263
2024-12-23,1.487132838107463,1.664766104775417,1.34532754663379
2024-12-24,1.536500164369925,1.7260241824951228,1.3852024421828313
2024-12-25,1.5082902636485152,1.691019566655272,1.362416787583376
2024-12-26,1.4760503771097833,1.6510142914097692,1.3363760394697222
2024-12-27,1.457008694122841,1.6273861757178487,1.3209957226151037
2024-12-29,1.6092282155937945,1.816269714339236,1.4439462240643852
2024-12-30,1.6143210004636144,1.8154560062545453,1.4500901280804834
2025-01-02,1.6882203973719978,1.9357310359531252,1.5478775216238194
2025-01-03,1.7029022006957106,1.920889602301612,1.5486932047729551
